"abbr","league","club_name","fifa_club_name"
"AAC","German Bundesliga","Aachen","Alemannia Aachen"
"ADO","Dutch Eredivisie","Ado Den Haag","ADO Den Haag"
"AJA","Dutch Eredivisie","Ajax","Ajax"
"AJC","French Ligue 1","Ajaccio","AC Ajaccio"
"ALB","Spanish La Liga","Albacete","Albacete BP"
"ALM","Spanish La Liga","Almería","UD Almería"
"ALV","Spanish La Liga","Alavés","Deportivo Alavés"
"AMI","French Ligue 1","Amiens","Amiens SC"
"Ancona","Italian Serie A","Ancona","Ancona"
"ANG","French Ligue 1","Angers","Angers SCO"
"ARL","French Ligue 1","Arles-Avignon","AC Arles Avignon"
"ARS","English Premier League","Arsenal","Arsenal"
"ASC","Italian Serie A","Ascoli","Ascoli"
"ASNL","French Ligue 1","AS Nancy Lorraine","AS Nancy Lorraine"
"ASSE","French Ligue 1","AS Saint-Étienne","AS Saint-Étienne"
"ATA","Italian Serie A","Atalanta","Atalanta"
"ATH","Spanish La Liga","Athletic Club","Athletic Club de Bilbao"
"ATL","Spanish La Liga","Atlético Madrid","Atlético Madrid"
"AUG","German Bundesliga","Augusta","FC Augsburg"
"AUX","French Ligue 1","AJ Auxerre","AJ Auxerre"
"AVL","English Premier League","Aston Villa","Aston Villa"
"AZ","Dutch Eredivisie","AZ Alkmaar","AZ Alkmaar"
"BAR","Italian Serie A","Bari","Bari"
"BAS","French Ligue 1","Bastia","Sporting Club de Bastia"
"BEN","Italian Serie A","Benevento","Benevento"
"BET","Spanish La Liga","Betis","Real Betis"
"BHA","English Premier League","Brighton & Hove Albion","Brighton & Hove Albion"
"BIR","English Premier League","Birmingham City","Birmingham City"
"BLE","German Bundesliga","Bayer 04 Leverkusen","Bayer 04 Leverkusen"
"BLK","English Premier League","Blackburn","Blackburn Rovers"
"BLP","English Premier League","Blackpool","Blackpool"
"BOC","German Bundesliga","VfL Bochum","VfL Bochum 1848"
"BOL_GB","English Premier League","Bolton","Bolton Wanderers"
"BOL","Italian Serie A","Bologna","Bologna"
"BOM","German Bundesliga","Borussia M'gladbach","Borussia Mönchengladbach"
"BOR","French Ligue 1","Bordeaux","FC Girondins de Bordeaux"
"BOU","English Premier League","Bournemouth","Bournemouth"
"BOU_FR","French Ligue 1","Boulogne","US Boulogne Cote D'Opale"
"BRE_GB","English Premier League","Brentford","Brentford"
"BRE","Italian Serie A","Brescia","Brescia"
"BRES","French Ligue 1","Stade Brestois 29","Stade Brestois 29"
"BUR","English Premier League","Burnley","Burnley"
"CAD","Spanish La Liga","Cadiz","Cádiz CF"
"CAG","Italian Serie A","Cagliari","Cagliari"
"CAM","Dutch Eredivisie","Cambuur","SC Cambuur"
"CAN","French Ligue 1","Caen","Stade Malherbe Caen"
"CAR_GB","English Premier League","Cardiff City","Cardiff City"
"CAR","Italian Serie A","Carpi","Carpi"
"CAT","Italian Serie A","Catania","Catania"
"CEL","Spanish La Liga","Celta Vigo","RC Celta"
"CES","Italian Serie A","Cesena","Cesena"
"CHA","English Premier League","Charlton","Charlton Athletic"
"CHE","English Premier League","Chelsea","Chelsea"
"CLER","French Ligue 1","Clermont Foot 63","Clermont Foot 63"
"COL","German Bundesliga","1. Fußball-Club Köln","1. FC Köln"
"COMO","Italian Serie A","Como","Como"
"COR","Spanish La Liga","Córdoba","Córdoba CF"
"COT","German Bundesliga","Energie Cottbus","FC Energie Cottbus"
"CRO","Italian Serie A","Crotone","Crotone"
"CRY","English Premier League","Crystal Palace","Crystal Palace"
"CVO","Italian Serie A","Chievo Verona","Chievo Verona"
"DBO","Dutch Eredivisie","Den Bosch","Den Bosch"
"DEP","Spanish La Liga","Deportivo La Coruña","Deportivo de La Coruña"
"DER","English Premier League","Derby County","Derby County"
"DIJO","French Ligue 1","Dijon FCO","Dijon FCO"
"DOR","German Bundesliga","Borussia Dortmund","Borussia Dortmund"
"DOR_NL","Dutch Eredivisie","Dordrecht","FC Dordrecht"
"DRM","German Bundesliga","SV Darmstadt 98","SV Darmstadt 98"
"DSC","German Bundesliga","Deutscher Sportclub Arminia Bielefeld","DSC Arminia Bielefeld"
"DUI","German Bundesliga","Duisburg","MSV Duisburg"
"DUS","German Bundesliga","Fortuna Düsseldorf","Fortuna Düsseldorf"
"EAG","French Ligue 1","En Avant de Guingamp","En Avant de Guingamp"
"EBS","German Bundesliga","Eintracht Braunschweig","Eintracht Braunschweig"
"EIB","Spanish La Liga","SD Eibar","SD Eibar"
"ELC","Spanish La Liga","Elche","Elche CF"
"EMM","Dutch Eredivisie","Emmen","FC Emmen"
"EMP","Italian Serie A","Empoli","Empoli"
"ESP","Spanish La Liga","Espanyol","RCD Espanyol"
"EVE","English Premier League","Everton","Everton"
"EVN","French Ligue 1","Evian Thonon Gaillard","Évian Thonon Gaillard FC"
"EXC","Dutch Eredivisie","Excelsior","Excelsior"
"FCB","Spanish La Liga","FC Barcelona","FC Barcelona"
"FCK","German Bundesliga","1. FC Kaiserslautern","1. FC Kaiserslautern"
"FCU","German Bundesliga","1. Fußballclub Union Berlin","1. FC Union Berlin"
"FEY","Dutch Eredivisie","Feynoord","Feyenoord"
"FIO","Italian Serie A","Fiorentina","Fiorentina"
"FOR","Dutch Eredivisie","Fortuna Sittard","Fortuna Sittard"
"FREI","German Bundesliga","SC Freiburg","SC Freiburg"
"FRO","Italian Serie A","Frosinone","Frosinone"
"FUL","English Premier League","Fulham","Fulham"
"FUR","German Bundesliga","SpVgg Greuther Fürth","SpVgg Greuther Fürth"
